NAME,DATE,PLANETDISCMETH,MASS,SEP,DIST
Kepler-292 f,2014,Transit,0.0179955,0.148181,
Kepler-20 e,2011,Transit,0.00175601,0.063351,290
Kepler-296 d,2014,Transit,0.0172808,0.143477,
HD 149143 b,2006,RV,1.32811,0.0530508,62.0347
Kepler-62 d,2011,Transit,0,0.119499,368
HD 79498 b,2012,RV,1.34632,3.13296,46.1042
Kepler-298 d,2014,Transit,0.0196646,0.355666,
Kepler-269 b,2014,Transit,0.019315,0.0596916,
Kepler-248 b,2014,Transit,0.0272098,0.0668155,
HD 181433 c,2009,RV,0.640416,1.75604,26.7594
70 Vir b,1996,RV,7.46144,0.483601,17.9856
HD 102365 b,2011,RV,0.0509774,0.463328,9.22084
BD -08 2823 b,2010,RV,0.045941,0.0558236,42.4989
Kepler-160 b,2014,Transit,0.0115417,0.0518266,
CoRoT-11 b,2010,Transit,2.34813,0.0440549,558.971
Kepler-369 c,2014,Transit,0.00960182,0.118353,
Kepler-142 d,2014,Transit,0.0161415,0.235751,
Kepler-398 b,2014,Transit,0.00225059,0.0499821,
Kepler-299 d,2014,Transit,0.0136944,0.119323,
GJ 436 b,2004,RV,0.0726979,0.0287188,10.141
Kepler-142 c,2014,Transit,0.0245625,0.0553921,
Kepler-181 c,2014,Transit,0.014692,0.0517683,
Kepler-364 b,2014,Transit,0.011604,0.170638,
Kepler-173 c,2014,Transit,0.0188614,0.0783205,
Kepler-290 b,2014,Transit,0.0169862,0.11685,
WASP-37 b,2011,Transit,1.79362,0.0446312,343
Kepler-223 c,2014,Transit,0.0147725,0.0899174,
HD 6718 b,2010,RV,1.5591,3.55427,54.8546
Kepler-224 e,2014,Transit,0.0145328,0.137602,
Kepler-322 c,2014,Transit,0.0123736,0.0520493,
HD 33636 b,2002,RV,9.26951,3.26519,28.3688
Kepler-163 c,2014,Transit,0.0170837,0.150603,
HAT-P-40 b,2012,Transit,0.6202,0.060845,501
HD 240237 b,2012,RV,5.31949,1.91887,
Kepler-169 f,2014,Transit,0.0206381,0.38452,
Kepler-283 b,2014,Transit,0.0158724,0.0968462,
rho CrB b,1997,RV,1.06409,0.225692,17.2354
Kepler-214 b,2014,Transit,0.0210192,0.122502,
Kepler-314 b,2014,Transit,0.00150361,0.0356743,
Kepler-188 c,2014,Transit,0.0303861,0.0645963,
Kepler-233 b,2014,Transit,0.0188614,0.0813349,
Kepler-118 b,2014,Transit,0.014454,0.0751093,
Kepler-110 b,2014,Transit,0.013476,0.106481,
HD 11977 b,2005,RV,7.40012,2.063,67.0691
HD 73534 b,2009,RV,1.06828,3.0184,81.0373
Kepler-195 b,2014,Transit,0.0150172,0.0802786,
Kepler-50 c,2012,Transit,0.0234642,0.0932375,
HD 164604 b,2010,RV,2.6885,1.30299,41.0678
Kepler-359 b,2014,Transit,0.0380002,0.169831,
Kepler-359 d,2014,Transit,0.0520795,0.354508,
Kepler-115 b,2014,Transit,0.00396389,0.0351175,
OGLE-05-071L b,2005,Microlensing,3.8,3.6,3200
OGLE235-MOA53 b,2004,Microlensing,2.6,4.3,5200
HD 37124 c,2003,RV,0.648109,1.70993,33.67
HD 217107 c,2005,RV,2.61546,5.33414,19.857
HD 74156 b,2004,RV,1.77342,0.291535,64.433
Kepler-180 b,2014,Transit,0.0117855,0.11269,
HD 103774 b,2013,RV,0.368054,0.070273,55.4631
Kepler-43 b,2011,Transit,3.23143,0.0449294,1950
Kepler-76 b,2013,Transit,1.96,0.0271768,
Kepler-310 b,2014,Transit,0.00538981,0.113307,
Kepler-222 c,2014,Transit,0.0710944,0.0913762,
KELT-6 b,2014,Transit,0.43122,0.0794132,222
WASP-13 b,2009,Transit,0.473883,0.0537034,155
Kepler-84 c,2012,Transit,0.096,0.107552,
HD 13931 b,2010,RV,1.88123,5.14931,44.2282
Kepler-58 d,2014,Transit,0.0258466,0.229287,
